provider_id,provider_name,provider_type,state,locality,hcpcs_code,service_description,service_category,contract_allowed_amount,contract_paid_amount,billed_amount,utilization_count,effective_date,contract_type,payer_product,medicare_benchmark_amount,benchmark_source,service_month,contract_total_paid,medicare_total_benchmark
PRV009,Provider Network 09,Hospital Outpatient,MD,MD Locality,99213,Office/outpatient established visit,Professional,104.64,97.05,187.9,118,2025-12-01,Case Rate,Commercial HMO,84.35,simulated_cms_style_fee_schedule,2025-12-01,11451.9,9953.3
PRV036,Provider Network 36,Physician Group,VA,VA Locality,99213,Office/outpatient established visit,Professional,101.74,93.6,144.72,82,2025-09-01,Case Rate,Medicare Advantage,77.64,simulated_cms_style_fee_schedule,2025-09-01,7675.2,6366.4800000000005
PRV006,Provider Network 06,Lab,VA,VA Locality,70551,MRI brain without contrast,Imaging,252.32,240.57,391.91,19,2024-12-01,Negotiated Commercial,Commercial HMO,227.36,simulated_cms_style_fee_schedule,2024-12-01,4570.83,4319.84
PRV039,Provider Network 39,Hospital Outpatient,NY,NY Locality,93000,Electrocardiogram complete,Diagnostic,24.13,21.84,25.34,20,2024-09-01,Case Rate,Commercial PPO,25.07,simulated_cms_style_fee_schedule,2024-09-01,436.8,501.4
PRV038,Provider Network 38,Lab,NC,NC Locality,80053,Comprehensive metabolic panel,Lab,12.02,10.35,19.11,41,2024-12-01,Negotiated Commercial,Commercial PPO,13.94,simulated_cms_style_fee_schedule,2024-12-01,424.34999999999997,571.54
PRV006,Provider Network 06,Lab,VA,VA Locality,99213,Office/outpatient established visit,Professional,107.66,99.79,113.05,94,2025-12-01,Percent of Medicare,Commercial HMO,82.42,simulated_cms_style_fee_schedule,2025-12-01,9380.26,7747.4800000000005
PRV046,Provider Network 46,Lab,NC,NC Locality,99213,Office/outpatient established visit,Professional,112.82,109.05,139.19,96,2024-06-01,Case Rate,Exchange,97.52,simulated_cms_style_fee_schedule,2024-06-01,10468.8,9361.92
PRV025,Provider Network 25,Imaging Center,NY,NY Locality,99214,Office/outpatient established visit high complexity,Professional,134.18,127.57,250.63,90,2025-05-01,Fee Schedule,Medicare Advantage,128.66,simulated_cms_style_fee_schedule,2025-05-01,11481.3,11579.4
PRV048,Provider Network 48,Lab,NY,NY Locality,80053,Comprehensive metabolic panel,Lab,13.93,13.41,26.06,45,2025-10-01,Percent of Medicare,Exchange,15.37,simulated_cms_style_fee_schedule,2025-10-01,603.45,691.65
PRV003,Provider Network 03,Imaging Center,PA,PA Locality,99214,Office/outpatient established visit high complexity,Professional,107.58,98.37,139.69,92,2025-07-01,Percent of Medicare,Commercial PPO,122.99,simulated_cms_style_fee_schedule,2025-07-01,9050.04,11315.08
PRV011,Provider Network 11,Ambulatory Surgery,NC,NC Locality,93000,Electrocardiogram complete,Diagnostic,23.62,22.4,46.75,23,2025-09-01,Negotiated Commercial,Exchange,25.07,simulated_cms_style_fee_schedule,2025-09-01,515.1999999999999,576.61
PRV030,Provider Network 30,Ambulatory Surgery,NC,NC Locality,80053,Comprehensive metabolic panel,Lab,16.82,16.82,29.11,47,2025-11-01,Case Rate,Commercial HMO,14.98,simulated_cms_style_fee_schedule,2025-11-01,790.54,704.0600000000001
PRV012,Provider Network 12,Lab,VA,VA Locality,93000,Electrocardiogram complete,Diagnostic,24.98,22.06,41.71,15,2024-02-01,Negotiated Commercial,Commercial PPO,21.24,simulated_cms_style_fee_schedule,2024-02-01,330.9,318.59999999999997
PRV020,Provider Network 20,Ambulatory Surgery,NC,NC Locality,99213,Office/outpatient established visit,Professional,106.65,101.34,134.36,74,2024-06-01,Case Rate,Medicare Advantage,94.24,simulated_cms_style_fee_schedule,2024-06-01,7499.16,6973.759999999999
PRV040,Provider Network 40,Imaging Center,MD,MD Locality,99214,Office/outpatient established visit high complexity,Professional,107.5,98.46,215.53,74,2024-04-01,Percent of Medicare,Exchange,128.66,simulated_cms_style_fee_schedule,2024-04-01,7286.04,9520.84
PRV009,Provider Network 09,Hospital Outpatient,MD,MD Locality,A0429,Ambulance basic life support,Emergency,370.81,364.34,642.43,19,2025-02-01,Fee Schedule,Medicare Advantage,347.07,simulated_cms_style_fee_schedule,2025-02-01,6922.459999999999,6594.33
PRV041,Provider Network 41,Physician Group,NC,NC Locality,27447,Total knee arthroplasty,Surgery,1824.11,1696.85,2465.48,17,2024-10-01,Negotiated Commercial,Commercial PPO,1324.33,simulated_cms_style_fee_schedule,2024-10-01,28846.449999999997,22513.61
PRV007,Provider Network 07,Physician Group,FL,FL Locality,99214,Office/outpatient established visit high complexity,Professional,153.6,141.2,161.28,76,2024-01-01,Negotiated Commercial,Commercial PPO,128.66,simulated_cms_style_fee_schedule,2024-01-01,10731.199999999999,9778.16
PRV011,Provider Network 11,Ambulatory Surgery,NC,NC Locality,93000,Electrocardiogram complete,Diagnostic,21.3,18.63,26.82,22,2025-02-01,Case Rate,Commercial PPO,21.24,simulated_cms_style_fee_schedule,2025-02-01,409.85999999999996,467.28
PRV036,Provider Network 36,Physician Group,VA,VA Locality,80053,Comprehensive metabolic panel,Lab,15.44,13.78,24.54,40,2024-03-01,Fee Schedule,Medicare Advantage,15.37,simulated_cms_style_fee_schedule,2024-03-01,551.1999999999999,614.8
PRV048,Provider Network 48,Lab,NY,NY Locality,A0429,Ambulance basic life support,Emergency,336.71,308.32,503.92,21,2024-10-01,Negotiated Commercial,Exchange,298.33,simulated_cms_style_fee_schedule,2024-10-01,6474.72,6264.929999999999
PRV011,Provider Network 11,Ambulatory Surgery,NC,NC Locality,J3490,Unclassified drug,Pharmacy,94.91,91.84,182.61,18,2024-09-01,Fee Schedule,Exchange,101.59,simulated_cms_style_fee_schedule,2024-09-01,1653.1200000000001,1828.6200000000001
PRV018,Provider Network 18,Physician Group,VA,VA Locality,45378,Diagnostic colonoscopy,Outpatient,544.69,540.37,698.77,24,2025-10-01,Percent of Medicare,Exchange,417.19,simulated_cms_style_fee_schedule,2025-10-01,12968.880000000001,10012.56
PRV056,Provider Network 56,Physician Group,NY,NY Locality,99214,Office/outpatient established visit high complexity,Professional,111.19,102.86,180.88,74,2025-05-01,Fee Schedule,Exchange,133.35,simulated_cms_style_fee_schedule,2025-05-01,7611.64,9867.9
PRV060,Provider Network 60,Imaging Center,MD,MD Locality,71046,Chest x-ray two views,Imaging,39.23,35.97,71.08,16,2025-03-01,Fee Schedule,Commercial HMO,35.17,simulated_cms_style_fee_schedule,2025-03-01,575.52,562.72
PRV035,Provider Network 35,Lab,FL,FL Locality,71046,Chest x-ray two views,Imaging,31.54,29.8,38.5,16,2025-08-01,Negotiated Commercial,Medicare Advantage,35.17,simulated_cms_style_fee_schedule,2025-08-01,476.8,562.72
PRV027,Provider Network 27,Ambulatory Surgery,MD,MD Locality,27447,Total knee arthroplasty,Surgery,876.76,823.17,1492.97,22,2024-05-01,Case Rate,Exchange,1167.55,simulated_cms_style_fee_schedule,2024-05-01,18109.739999999998,25686.1
PRV021,Provider Network 21,Ambulatory Surgery,FL,FL Locality,J3490,Unclassified drug,Pharmacy,123.55,114.1,191.01,15,2024-07-01,Percent of Medicare,Commercial HMO,117.66,simulated_cms_style_fee_schedule,2024-07-01,1711.5,1764.8999999999999
PRV037,Provider Network 37,Lab,VA,VA Locality,80053,Comprehensive metabolic panel,Lab,10.01,9.3,14.13,50,2025-07-01,Case Rate,Exchange,13.94,simulated_cms_style_fee_schedule,2025-07-01,465.00000000000006,697.0
PRV036,Provider Network 36,Physician Group,VA,VA Locality,70551,MRI brain without contrast,Imaging,243.64,229.51,255.82,18,2025-06-01,Case Rate,Commercial PPO,219.7,simulated_cms_style_fee_schedule,2025-06-01,4131.18,3954.6
PRV018,Provider Network 18,Physician Group,VA,VA Locality,93000,Electrocardiogram complete,Diagnostic,24.62,24.07,40.97,23,2024-01-01,Negotiated Commercial,Commercial PPO,21.42,simulated_cms_style_fee_schedule,2024-01-01,553.61,492.66
PRV002,Provider Network 02,Imaging Center,NC,NC Locality,93000,Electrocardiogram complete,Diagnostic,26.77,24.15,36.98,31,2024-06-01,Fee Schedule,Commercial PPO,23.12,simulated_cms_style_fee_schedule,2024-06-01,748.65,716.72
PRV010,Provider Network 10,Physician Group,PA,PA Locality,80053,Comprehensive metabolic panel,Lab,16.87,14.82,24.55,43,2024-06-01,Fee Schedule,Exchange,14.98,simulated_cms_style_fee_schedule,2024-06-01,637.26,644.14
PRV058,Provider Network 58,Physician Group,MD,MD Locality,45378,Diagnostic colonoscopy,Outpatient,378.05,354.51,718.41,20,2024-01-01,Percent of Medicare,Exchange,393.64,simulated_cms_style_fee_schedule,2024-01-01,7090.2,7872.799999999999
PRV026,Provider Network 26,Imaging Center,NC,NC Locality,71046,Chest x-ray two views,Imaging,41.03,36.68,63.28,22,2025-04-01,Fee Schedule,Medicare Advantage,35.45,simulated_cms_style_fee_schedule,2025-04-01,806.96,779.9000000000001
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,826.12,815.54,1330.71,20,2024-02-01,Case Rate,Commercial PPO,1324.33,simulated_cms_style_fee_schedule,2024-02-01,16310.8,26486.6
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,1047.44,989.68,2134.5,20,2025-09-01,Negotiated Commercial,Commercial PPO,1304.32,simulated_cms_style_fee_schedule,2025-09-01,19793.6,26086.399999999998
PRV047,Provider Network 47,Ambulatory Surgery,NC,NC Locality,80053,Comprehensive metabolic panel,Lab,13.87,12.84,22.09,52,2025-03-01,Negotiated Commercial,Commercial PPO,13.24,simulated_cms_style_fee_schedule,2025-03-01,667.68,688.48
PRV004,Provider Network 04,Ambulatory Surgery,FL,FL Locality,A0429,Ambulance basic life support,Emergency,530.32,492.5,716.37,19,2025-07-01,Case Rate,Medicare Advantage,347.07,simulated_cms_style_fee_schedule,2025-07-01,9357.5,6594.33
PRV005,Provider Network 05,Ambulatory Surgery,PA,PA Locality,99213,Office/outpatient established visit,Professional,108.36,102.57,202.3,76,2024-12-01,Percent of Medicare,Commercial PPO,97.52,simulated_cms_style_fee_schedule,2024-12-01,7795.32,7411.5199999999995
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,J3490,Unclassified drug,Pharmacy,177.88,169.89,278.84,20,2025-12-01,Fee Schedule,Commercial PPO,112.06,simulated_cms_style_fee_schedule,2025-12-01,3397.7999999999997,2241.2
PRV030,Provider Network 30,Ambulatory Surgery,NC,NC Locality,99213,Office/outpatient established visit,Professional,107.58,107.58,152.92,126,2024-07-01,Percent of Medicare,Exchange,94.24,simulated_cms_style_fee_schedule,2024-07-01,13555.08,11874.24
PRV041,Provider Network 41,Physician Group,NC,NC Locality,80053,Comprehensive metabolic panel,Lab,18.71,16.62,24.81,51,2025-02-01,Fee Schedule,Exchange,15.37,simulated_cms_style_fee_schedule,2025-02-01,847.62,783.87
PRV030,Provider Network 30,Ambulatory Surgery,NC,NC Locality,J3490,Unclassified drug,Pharmacy,137.37,133.15,203.09,18,2024-01-01,Fee Schedule,Medicare Advantage,115.62,simulated_cms_style_fee_schedule,2024-01-01,2396.7000000000003,2081.16
