flag_type,provider_id,hcpcs_code,state,month,service_category,benchmark_band,utilization_count,contract_to_medicare_ratio,dollar_variance,total_financial_variance
Overpayment,PRV017,27447,VA,2025-05,Surgery,above_120_percent,24,1.701743523140003,929.3400000000001,22304.160000000003
Overpayment,PRV017,27447,VA,2024-06,Surgery,above_120_percent,21,1.7847590857263675,1039.2800000000002,21824.880000000005
Overpayment,PRV004,27447,FL,2025-11,Surgery,above_120_percent,26,1.604428695268657,794.8600000000001,20666.360000000004
Overpayment,PRV017,27447,VA,2025-02,Surgery,above_120_percent,26,1.5696012323212494,754.3400000000001,19612.840000000004
Overpayment,PRV017,27447,VA,2024-07,Surgery,above_120_percent,25,1.6686135268186417,779.5899999999999,19489.749999999996
Overpayment,PRV017,27447,VA,2024-03,Surgery,above_120_percent,25,1.6024818142918271,746.24,18656.0
Overpayment,PRV044,27447,MD,2024-08,Surgery,above_120_percent,26,1.5434428847352972,714.6600000000001,18581.160000000003
Overpayment,PRV043,27447,NC,2025-10,Surgery,above_120_percent,22,1.6995332105691405,816.74,17968.28
Overpayment,PRV017,27447,VA,2024-08,Surgery,above_120_percent,19,1.7601747119755211,941.5600000000002,17889.640000000003
Overpayment,PRV017,27447,VA,2025-08,Surgery,above_120_percent,19,1.80363153612265,938.28,17827.32
Overpayment,PRV044,27447,MD,2025-01,Surgery,above_120_percent,20,1.6722795677814444,890.3200000000002,17806.4
Overpayment,PRV004,27447,FL,2025-06,Surgery,above_120_percent,23,1.6467092059898112,754.05,17343.149999999998
Overpayment,PRV017,27447,VA,2024-07,Surgery,above_120_percent,20,1.6624217983316978,864.01,17280.2
Overpayment,PRV017,27447,VA,2025-02,Surgery,above_120_percent,22,1.6498993619116955,758.79,16693.379999999997
Overpayment,PRV006,27447,VA,2025-08,Surgery,above_120_percent,27,1.464000664486948,614.49,16591.23
Overpayment,PRV017,27447,VA,2024-08,Surgery,above_120_percent,25,1.498788066418491,660.5600000000002,16514.000000000004
Overpayment,PRV017,27447,VA,2024-08,Surgery,above_120_percent,20,1.618743062529732,819.4200000000001,16388.4
Overpayment,PRV043,27447,NC,2025-01,Surgery,above_120_percent,35,1.356898613837095,465.51,16292.85
Overpayment,PRV004,27447,FL,2025-07,Surgery,above_120_percent,30,1.4162552134445536,542.9300000000001,16287.900000000001
Overpayment,PRV043,27447,NC,2024-09,Surgery,above_120_percent,21,1.5836159566863872,767.4900000000002,16117.290000000005
Overpayment,PRV017,27447,VA,2024-04,Surgery,above_120_percent,21,1.65101280459081,760.0900000000001,15961.890000000003
Overpayment,PRV043,27447,NC,2025-07,Surgery,above_120_percent,23,1.5233891854749195,693.1400000000001,15942.220000000003
Overpayment,PRV044,27447,MD,2024-05,Surgery,above_120_percent,22,1.553330471050049,721.72,15877.84
Overpayment,PRV002,27447,NC,2024-11,Surgery,above_120_percent,23,1.5728662584043511,668.8500000000001,15383.550000000003
Overpayment,PRV021,27447,FL,2024-03,Surgery,above_120_percent,25,1.4715637266928363,615.0700000000002,15376.750000000004
Overpayment,PRV004,27447,FL,2025-01,Surgery,above_120_percent,21,1.555495566742202,730.51,15340.71
Overpayment,PRV021,27447,FL,2024-05,Surgery,above_120_percent,27,1.485600096056536,566.2,15287.400000000001
Overpayment,PRV017,27447,VA,2025-12,Surgery,above_120_percent,20,1.5800033734052994,756.51,15130.2
Overpayment,PRV004,27447,FL,2024-10,Surgery,above_120_percent,22,1.554403726758221,686.69,15107.18
Overpayment,PRV017,27447,VA,2025-04,Surgery,above_120_percent,20,1.6444520577277206,752.4300000000001,15048.600000000002
Overpayment,PRV031,27447,PA,2025-08,Surgery,above_120_percent,23,1.4896287179177397,648.4300000000001,14913.890000000001
Overpayment,PRV017,27447,VA,2025-04,Surgery,above_120_percent,19,1.6713117211254336,783.79,14892.009999999998
Overpayment,PRV044,27447,MD,2025-08,Surgery,above_120_percent,21,1.606380883045694,707.98,14867.58
Overpayment,PRV017,27447,VA,2025-12,Surgery,above_120_percent,21,1.566715915421319,701.94,14740.740000000002
Overpayment,PRV017,27447,VA,2024-07,Surgery,above_120_percent,25,1.5017753306231667,585.06,14626.499999999998
Overpayment,PRV043,27447,NC,2025-03,Surgery,above_120_percent,17,1.7173654233223417,837.56,14238.519999999999
