provider_id,hcpcs_code,state,month,payer_product,contract_type,utilization_count,billed_amount,contract_allowed_amount,contract_paid_amount,medicare_benchmark_amount,contract_total_paid,medicare_total_benchmark,contract_to_medicare_ratio,dollar_variance,percent_variance,total_financial_variance,benchmark_band,over_benchmark_flag,under_benchmark_flag
PRV009,99213,MD,2025-12,Commercial HMO,Case Rate,118,187.9,104.64,97.05,84.35,11451.9,9953.3,1.2405453467694132,20.290000000000006,0.24054534676941325,2394.2200000000007,above_120_percent,1,0
PRV036,99213,VA,2025-09,Medicare Advantage,Case Rate,82,144.72,101.74,93.6,77.64,7675.2,6366.4800000000005,1.3104070066975786,24.099999999999994,0.3104070066975785,1976.1999999999996,above_120_percent,1,0
PRV006,70551,VA,2024-12,Commercial HMO,Negotiated Commercial,19,391.91,252.32,240.57,227.36,4570.83,4319.84,1.1097818437719915,24.95999999999998,0.10978184377199146,474.2399999999996,100_to_120_percent,0,0
PRV039,93000,NY,2024-09,Commercial PPO,Case Rate,20,25.34,24.13,21.84,25.07,436.8,501.4,0.9625049860390905,-0.9400000000000013,-0.037495013960909505,-18.800000000000026,80_to_100_percent,0,0
PRV038,80053,NC,2024-12,Commercial PPO,Negotiated Commercial,41,19.11,12.02,10.35,13.94,424.34999999999997,571.54,0.8622668579626973,-1.92,-0.13773314203730272,-78.72,80_to_100_percent,0,0
PRV006,99213,VA,2025-12,Commercial HMO,Percent of Medicare,94,113.05,107.66,99.79,82.42,9380.26,7747.4800000000005,1.3062363504003882,25.239999999999995,0.3062363504003882,2372.5599999999995,above_120_percent,1,0
PRV046,99213,NC,2024-06,Exchange,Case Rate,96,139.19,112.82,109.05,97.52,10468.8,9361.92,1.1568908941755538,15.299999999999997,0.1568908941755537,1468.7999999999997,100_to_120_percent,0,0
PRV025,99214,NY,2025-05,Medicare Advantage,Fee Schedule,90,250.63,134.18,127.57,128.66,11481.3,11579.4,1.0429037773977927,5.52000000000001,0.04290377739779271,496.8000000000009,100_to_120_percent,0,0
PRV048,80053,NY,2025-10,Exchange,Percent of Medicare,45,26.06,13.93,13.41,15.37,603.45,691.65,0.9063109954456734,-1.4399999999999995,-0.09368900455432658,-64.79999999999998,80_to_100_percent,0,0
PRV003,99214,PA,2025-07,Commercial PPO,Percent of Medicare,92,139.69,107.58,98.37,122.99,9050.04,11315.08,0.874705260590292,-15.409999999999997,-0.1252947394097081,-1417.7199999999998,80_to_100_percent,0,0
PRV011,93000,NC,2025-09,Exchange,Negotiated Commercial,23,46.75,23.62,22.4,25.07,515.1999999999999,576.61,0.942161946549661,-1.4499999999999993,-0.05783805345033902,-33.34999999999998,80_to_100_percent,0,0
PRV030,80053,NC,2025-11,Commercial HMO,Case Rate,47,29.11,16.82,16.82,14.98,790.54,704.0600000000001,1.1228304405874499,1.8399999999999999,0.12283044058744992,86.47999999999999,100_to_120_percent,0,0
PRV012,93000,VA,2024-02,Commercial PPO,Negotiated Commercial,15,41.71,24.98,22.06,21.24,330.9,318.59999999999997,1.1760828625235407,3.740000000000002,0.1760828625235406,56.10000000000003,100_to_120_percent,0,0
PRV020,99213,NC,2024-06,Medicare Advantage,Case Rate,74,134.36,106.65,101.34,94.24,7499.16,6973.759999999999,1.1316850594227505,12.41000000000001,0.13168505942275055,918.3400000000008,100_to_120_percent,0,0
PRV040,99214,MD,2024-04,Exchange,Percent of Medicare,74,215.53,107.5,98.46,128.66,7286.04,9520.84,0.8355355199751283,-21.159999999999997,-0.16446448002487174,-1565.8399999999997,80_to_100_percent,0,0
PRV009,A0429,MD,2025-02,Medicare Advantage,Fee Schedule,19,642.43,370.81,364.34,347.07,6922.459999999999,6594.33,1.068401187080416,23.74000000000001,0.06840118708041608,451.0600000000002,100_to_120_percent,0,0
PRV041,27447,NC,2024-10,Commercial PPO,Negotiated Commercial,17,2465.48,1824.11,1696.85,1324.33,28846.449999999997,22513.61,1.3773832806022668,499.78,0.3773832806022668,8496.26,above_120_percent,1,0
PRV007,99214,FL,2024-01,Commercial PPO,Negotiated Commercial,76,161.28,153.6,141.2,128.66,10731.199999999999,9778.16,1.1938442406342298,24.939999999999998,0.19384424063422975,1895.4399999999998,100_to_120_percent,0,0
PRV011,93000,NC,2025-02,Commercial PPO,Case Rate,22,26.82,21.3,18.63,21.24,409.85999999999996,467.28,1.0028248587570623,0.060000000000002274,0.002824858757062254,1.32000000000005,100_to_120_percent,0,0
PRV036,80053,VA,2024-03,Medicare Advantage,Fee Schedule,40,24.54,15.44,13.78,15.37,551.1999999999999,614.8,1.0045543266102799,0.07000000000000028,0.004554326610279784,2.8000000000000114,100_to_120_percent,0,0
PRV048,A0429,NY,2024-10,Exchange,Negotiated Commercial,21,503.92,336.71,308.32,298.33,6474.72,6264.929999999999,1.1286494821171187,38.379999999999995,0.12864948211711863,805.9799999999999,100_to_120_percent,0,0
PRV011,J3490,NC,2024-09,Exchange,Fee Schedule,18,182.61,94.91,91.84,101.59,1653.1200000000001,1828.6200000000001,0.9342454966039964,-6.680000000000007,-0.06575450339600361,-120.24000000000012,80_to_100_percent,0,0
PRV018,45378,VA,2025-10,Exchange,Percent of Medicare,24,698.77,544.69,540.37,417.19,12968.880000000001,10012.56,1.3056161461204727,127.50000000000006,0.30561614612047283,3060.0000000000014,above_120_percent,1,0
PRV056,99214,NY,2025-05,Exchange,Fee Schedule,74,180.88,111.19,102.86,133.35,7611.64,9867.9,0.8338207724034495,-22.159999999999997,-0.1661792275965504,-1639.8399999999997,80_to_100_percent,0,0
PRV060,71046,MD,2025-03,Commercial HMO,Fee Schedule,16,71.08,39.23,35.97,35.17,575.52,562.72,1.1154392948535683,4.059999999999995,0.11543929485356824,64.95999999999992,100_to_120_percent,0,0
PRV035,71046,FL,2025-08,Medicare Advantage,Negotiated Commercial,16,38.5,31.54,29.8,35.17,476.8,562.72,0.8967870344043218,-3.6300000000000026,-0.1032129655956782,-58.08000000000004,80_to_100_percent,0,0
PRV027,27447,MD,2024-05,Exchange,Case Rate,22,1492.97,876.76,823.17,1167.55,18109.739999999998,25686.1,0.7509400025694831,-290.78999999999996,-0.24905999743051688,-6397.379999999999,below_80_percent_of_medicare,0,1
PRV021,J3490,FL,2024-07,Commercial HMO,Percent of Medicare,15,191.01,123.55,114.1,117.66,1711.5,1764.8999999999999,1.05005949345572,5.890000000000001,0.050059493455719875,88.35000000000001,100_to_120_percent,0,0
PRV037,80053,VA,2025-07,Exchange,Case Rate,50,14.13,10.01,9.3,13.94,465.00000000000006,697.0,0.718077474892396,-3.9299999999999997,-0.281922525107604,-196.5,below_80_percent_of_medicare,0,1
PRV036,70551,VA,2025-06,Commercial PPO,Case Rate,18,255.82,243.64,229.51,219.7,4131.18,3954.6,1.1089667728720982,23.939999999999998,0.10896677287209831,430.91999999999996,100_to_120_percent,0,0
PRV018,93000,VA,2024-01,Commercial PPO,Negotiated Commercial,23,40.97,24.62,24.07,21.42,553.61,492.66,1.149393090569561,3.1999999999999993,0.1493930905695611,73.59999999999998,100_to_120_percent,0,0
PRV002,93000,NC,2024-06,Commercial PPO,Fee Schedule,31,36.98,26.77,24.15,23.12,748.65,716.72,1.157871972318339,3.6499999999999986,0.15787197231833902,113.14999999999995,100_to_120_percent,0,0
PRV010,80053,PA,2024-06,Exchange,Fee Schedule,43,24.55,16.87,14.82,14.98,637.26,644.14,1.1261682242990654,1.8900000000000006,0.12616822429906546,81.27000000000002,100_to_120_percent,0,0
PRV058,45378,MD,2024-01,Exchange,Percent of Medicare,20,718.41,378.05,354.51,393.64,7090.2,7872.799999999999,0.960395285032009,-15.589999999999975,-0.039604714967991,-311.7999999999995,80_to_100_percent,0,0
PRV026,71046,NC,2025-04,Medicare Advantage,Fee Schedule,22,63.28,41.03,36.68,35.45,806.96,779.9000000000001,1.1574047954866007,5.579999999999998,0.15740479548660077,122.75999999999996,100_to_120_percent,0,0
PRV029,27447,NC,2024-02,Commercial PPO,Case Rate,20,1330.71,826.12,815.54,1324.33,16310.8,26486.6,0.6238022245210786,-498.2099999999999,-0.37619777547892136,-9964.199999999999,below_80_percent_of_medicare,0,1
PRV029,27447,NC,2025-09,Commercial PPO,Negotiated Commercial,20,2134.5,1047.44,989.68,1304.32,19793.6,26086.399999999998,0.8030544651619236,-256.8799999999999,-0.19694553483807647,-5137.599999999998,80_to_100_percent,0,0
PRV047,80053,NC,2025-03,Commercial PPO,Negotiated Commercial,52,22.09,13.87,12.84,13.24,667.68,688.48,1.047583081570997,0.629999999999999,0.0475830815709969,32.75999999999995,100_to_120_percent,0,0
PRV004,A0429,FL,2025-07,Medicare Advantage,Case Rate,19,716.37,530.32,492.5,347.07,9357.5,6594.33,1.5279914714610887,183.25000000000006,0.5279914714610887,3481.750000000001,above_120_percent,1,0
PRV005,99213,PA,2024-12,Commercial PPO,Percent of Medicare,76,202.3,108.36,102.57,97.52,7795.32,7411.5199999999995,1.1111566858080395,10.840000000000003,0.11115668580803942,823.8400000000003,100_to_120_percent,0,0
PRV017,J3490,VA,2025-12,Commercial PPO,Fee Schedule,20,278.84,177.88,169.89,112.06,3397.7999999999997,2241.2,1.5873639121898981,65.82,0.5873639121898981,1316.3999999999999,above_120_percent,1,0
PRV030,99213,NC,2024-07,Exchange,Percent of Medicare,126,152.92,107.58,107.58,94.24,13555.08,11874.24,1.141553480475382,13.340000000000003,0.14155348047538205,1680.8400000000004,100_to_120_percent,0,0
