provider_id,provider_name,provider_type,state,locality,hcpcs_code,service_description,service_category,contract_allowed_amount,contract_paid_amount,billed_amount,utilization_count,effective_date,contract_type,payer_product,medicare_benchmark_amount,benchmark_source,service_month,contract_total_paid,medicare_total_benchmark,contract_to_medicare_ratio,dollar_variance,percent_variance,total_financial_variance,over_benchmark_flag,under_benchmark_flag,benchmark_band
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2253.67,1972.06,3767.45,24,2025-05-01,Case Rate,Commercial HMO,1324.33,simulated_cms_style_fee_schedule,2025-05-01,47329.44,31783.92,1.701743523140003,929.3400000000001,0.701743523140003,22304.160000000003,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2363.61,2166.41,3808.16,21,2024-06-01,Percent of Medicare,Exchange,1324.33,simulated_cms_style_fee_schedule,2024-06-01,45494.61,27810.93,1.7847590857263675,1039.2800000000002,0.7847590857263675,21824.880000000005,1,0,above_120_percent
PRV004,Provider Network 04,Ambulatory Surgery,FL,FL Locality,27447,Total knee arthroplasty,Surgery,2109.92,1940.92,2311.45,26,2025-11-01,Fee Schedule,Commercial HMO,1315.06,simulated_cms_style_fee_schedule,2025-11-01,50463.92,34191.56,1.604428695268657,794.8600000000001,0.6044286952686571,20666.360000000004,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2078.67,1847.59,3411.91,26,2025-02-01,Negotiated Commercial,Commercial HMO,1324.33,simulated_cms_style_fee_schedule,2025-02-01,48037.34,34432.58,1.5696012323212494,754.3400000000001,0.5696012323212494,19612.840000000004,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,1945.57,1776.06,2881.99,25,2024-07-01,Case Rate,Commercial PPO,1165.98,simulated_cms_style_fee_schedule,2024-07-01,44401.5,29149.5,1.6686135268186417,779.5899999999999,0.6686135268186417,19489.749999999996,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,1984.85,1750.34,2270.98,25,2024-03-01,Negotiated Commercial,Commercial HMO,1238.61,simulated_cms_style_fee_schedule,2024-03-01,43758.5,30965.249999999996,1.6024818142918271,746.24,0.6024818142918272,18656.0,1,0,above_120_percent
PRV044,Provider Network 44,Hospital Outpatient,MD,MD Locality,27447,Total knee arthroplasty,Surgery,2029.72,1994.22,2968.35,26,2024-08-01,Fee Schedule,Medicare Advantage,1315.06,simulated_cms_style_fee_schedule,2024-08-01,51849.72,34191.56,1.5434428847352972,714.6600000000001,0.5434428847352973,18581.160000000003,1,0,above_120_percent
PRV043,Provider Network 43,Imaging Center,NC,NC Locality,27447,Total knee arthroplasty,Surgery,1984.29,1841.77,2752.8,22,2025-10-01,Negotiated Commercial,Commercial PPO,1167.55,simulated_cms_style_fee_schedule,2025-10-01,40518.94,25686.1,1.6995332105691405,816.74,0.6995332105691405,17968.28,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2180.17,2011.26,3732.0,19,2024-08-01,Percent of Medicare,Exchange,1238.61,simulated_cms_style_fee_schedule,2024-08-01,38213.94,23533.589999999997,1.7601747119755211,941.5600000000002,0.7601747119755211,17889.640000000003,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2105.83,1954.3,3119.36,19,2025-08-01,Percent of Medicare,Medicare Advantage,1167.55,simulated_cms_style_fee_schedule,2025-08-01,37131.7,22183.45,1.80363153612265,938.28,0.80363153612265,17827.32,1,0,above_120_percent
PRV044,Provider Network 44,Hospital Outpatient,MD,MD Locality,27447,Total knee arthroplasty,Surgery,2214.65,2032.45,4160.7,20,2025-01-01,Negotiated Commercial,Commercial HMO,1324.33,simulated_cms_style_fee_schedule,2025-01-01,40649.0,26486.6,1.6722795677814444,890.3200000000002,0.6722795677814444,17806.4,1,0,above_120_percent
PRV004,Provider Network 04,Ambulatory Surgery,FL,FL Locality,27447,Total knee arthroplasty,Surgery,1920.03,1775.0,4019.15,23,2025-06-01,Case Rate,Medicare Advantage,1165.98,simulated_cms_style_fee_schedule,2025-06-01,40825.0,26817.54,1.6467092059898112,754.05,0.6467092059898111,17343.149999999998,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,2168.33,2019.03,3174.31,20,2024-07-01,Case Rate,Commercial PPO,1304.32,simulated_cms_style_fee_schedule,2024-07-01,40380.6,26086.399999999998,1.6624217983316978,864.01,0.6624217983316978,17280.2,1,0,above_120_percent
PRV017,Provider Network 17,Ambulatory Surgery,VA,VA Locality,27447,Total knee arthroplasty,Surgery,1926.34,1893.51,2788.6,22,2025-02-01,Case Rate,Exchange,1167.55,simulated_cms_style_fee_schedule,2025-02-01,41657.22,25686.1,1.6498993619116955,758.79,0.6498993619116954,16693.379999999997,1,0,above_120_percent
