provider_id,provider_name,provider_type,state,locality,hcpcs_code,service_description,service_category,contract_allowed_amount,contract_paid_amount,billed_amount,utilization_count,effective_date,contract_type,payer_product,medicare_benchmark_amount,benchmark_source,service_month,contract_total_paid,medicare_total_benchmark,contract_to_medicare_ratio,dollar_variance,percent_variance,total_financial_variance,over_benchmark_flag,under_benchmark_flag,benchmark_band
PRV052,Provider Network 52,Physician Group,NC,NC Locality,27447,Total knee arthroplasty,Surgery,766.59,686.1,1259.26,24,2024-11-01,Negotiated Commercial,Medicare Advantage,1238.61,simulated_cms_style_fee_schedule,2024-11-01,16466.4,29726.64,0.6189115217865189,-472.01999999999987,-0.3810884782134812,-11328.479999999996,0,1,below_80_percent_of_medicare
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,900.08,848.26,1494.28,26,2024-05-01,Case Rate,Medicare Advantage,1324.33,simulated_cms_style_fee_schedule,2024-05-01,22054.76,34432.58,0.6796493321151074,-424.2499999999999,-0.3203506678848927,-11030.499999999996,0,1,below_80_percent_of_medicare
PRV027,Provider Network 27,Ambulatory Surgery,MD,MD Locality,27447,Total knee arthroplasty,Surgery,713.35,687.9,1143.53,24,2024-01-01,Negotiated Commercial,Medicare Advantage,1167.55,simulated_cms_style_fee_schedule,2024-01-01,16509.6,28021.199999999997,0.610980257804805,-454.19999999999993,-0.38901974219519503,-10900.8,0,1,below_80_percent_of_medicare
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,938.76,893.1,1492.31,28,2024-08-01,Fee Schedule,Exchange,1304.32,simulated_cms_style_fee_schedule,2024-08-01,25006.8,36520.96,0.7197313542688911,-365.55999999999995,-0.2802686457311089,-10235.679999999998,0,1,below_80_percent_of_medicare
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,826.12,815.54,1330.71,20,2024-02-01,Case Rate,Commercial PPO,1324.33,simulated_cms_style_fee_schedule,2024-02-01,16310.8,26486.6,0.6238022245210786,-498.2099999999999,-0.37619777547892136,-9964.199999999999,0,1,below_80_percent_of_medicare
PRV003,Provider Network 03,Imaging Center,PA,PA Locality,27447,Total knee arthroplasty,Surgery,810.16,783.61,1487.02,23,2024-02-01,Case Rate,Medicare Advantage,1238.61,simulated_cms_style_fee_schedule,2024-02-01,18023.03,28488.03,0.6540880503144655,-428.44999999999993,-0.34591194968553457,-9854.349999999999,0,1,below_80_percent_of_medicare
PRV056,Provider Network 56,Physician Group,NY,NY Locality,27447,Total knee arthroplasty,Surgery,949.66,949.66,1520.7,26,2024-01-01,Negotiated Commercial,Commercial PPO,1324.33,simulated_cms_style_fee_schedule,2024-01-01,24691.16,34432.58,0.7170871308510719,-374.66999999999996,-0.2829128691489281,-9741.419999999998,0,1,below_80_percent_of_medicare
PRV029,Provider Network 29,Ambulatory Surgery,NC,NC Locality,27447,Total knee arthroplasty,Surgery,930.03,878.53,1601.66,24,2024-11-01,Percent of Medicare,Exchange,1324.33,simulated_cms_style_fee_schedule,2024-11-01,21084.72,31783.92,0.7022645413152311,-394.29999999999995,-0.29773545868476886,-9463.199999999999,0,1,below_80_percent_of_medicare
PRV042,Provider Network 42,Imaging Center,VA,VA Locality,27447,Total knee arthroplasty,Surgery,878.0,833.9,1008.61,22,2025-03-01,Case Rate,Commercial HMO,1304.32,simulated_cms_style_fee_schedule,2025-03-01,18345.8,28695.039999999997,0.6731476938174681,-426.31999999999994,-0.32685230618253186,-9379.039999999999,0,1,below_80_percent_of_medicare
PRV052,Provider Network 52,Physician Group,NC,NC Locality,27447,Total knee arthroplasty,Surgery,979.18,903.18,1257.78,27,2025-12-01,Percent of Medicare,Commercial HMO,1315.06,simulated_cms_style_fee_schedule,2025-12-01,24385.859999999997,35506.619999999995,0.7445896004745031,-335.88,-0.25541039952549693,-9068.76,0,1,below_80_percent_of_medicare
